iter	Logloss
0	0.6671200973
1	0.6452667626
2	0.6258569644
3	0.6092428698
4	0.5932750166
5	0.5797524888
6	0.5682387795
7	0.55699209
8	0.5487404509
9	0.5398032601
10	0.5314378619
11	0.5252589965
12	0.518566073
13	0.5134019431
14	0.5084149054
15	0.5036502708
16	0.5000579451
17	0.496487848
18	0.4936888272
19	0.4901245383
20	0.4869519144
21	0.4842225886
22	0.4815306269
23	0.4789910038
24	0.4772957851
25	0.4748885657
26	0.4725904876
27	0.4705789594
28	0.4684353932
29	0.4663948365
30	0.4650756652
31	0.4637330101
32	0.4619913219
33	0.4601019846
34	0.4583635242
35	0.4574177618
36	0.4562405207
37	0.455500847
38	0.4544787589
39	0.452622347
40	0.4512227081
41	0.4502996114
42	0.4492849844
43	0.4482681825
44	0.4477319428
45	0.4465896006
46	0.4455523737
47	0.4446840124
48	0.4440150408
49	0.4430595434
50	0.4425235783
51	0.4417503415
52	0.4410159426
53	0.4406709866
54	0.4401890435
55	0.439891711
56	0.4392739704
57	0.4384253447
58	0.437377706
59	0.4364695136
60	0.4360935571
61	0.4350438615
62	0.4343825335
63	0.4339630251
64	0.4334999578
65	0.433166668
66	0.4325780842
67	0.4321021278
68	0.4319070848
69	0.4316756484
70	0.4312900219
71	0.4308683691
72	0.4307237987
73	0.4299908888
74	0.4292311485
75	0.428852848
76	0.4286239252
77	0.428356886
78	0.4281032224
79	0.4276483725
80	0.4272099705
81	0.4270416475
82	0.426765672
83	0.4263311465
84	0.4260314855
85	0.4258840918
86	0.4256385174
87	0.4251955958
88	0.4245850167
89	0.4241216099
90	0.4238674876
91	0.4232928966
92	0.4229546193
93	0.4226825458
94	0.4224176044
95	0.4219615708
96	0.4215202662
97	0.4212704101
98	0.420949988
99	0.4206939878
100	0.4203758738
101	0.420031212
102	0.4199128278
103	0.4195443757
104	0.4192932843
105	0.4191251286
106	0.4186876951
107	0.4185145142
108	0.4183248769
109	0.4177799416
110	0.4173675988
111	0.4171973415
112	0.4167681164
113	0.4165033334
114	0.416408831
115	0.4161615261
116	0.4159911314
117	0.4157275793
118	0.4154345873
119	0.4152698189
120	0.4148040432
121	0.4146093395
122	0.4145179483
123	0.4139596805
124	0.4139155776
125	0.4136892975
126	0.4135210868
127	0.4134342544
128	0.4131386649
129	0.4130140718
130	0.4126391008
131	0.4124619352
132	0.4123904892
133	0.4121077886
134	0.4120285734
135	0.4119197774
136	0.4118101673
137	0.4114443801
138	0.4112253595
139	0.4107726716
140	0.4105900775
141	0.4105355028
142	0.4102928045
143	0.4100043581
144	0.4094990578
145	0.4093856512
146	0.4090994433
147	0.4090366629
148	0.408720789
149	0.4085958822
150	0.4084548128
151	0.4081676481
152	0.4077021005
153	0.4075983669
154	0.4074713514
155	0.4070629041
156	0.4069837012
157	0.4067067531
158	0.4064368465
159	0.4062139348
160	0.4060794814
161	0.4059650404
162	0.4057155812
163	0.4056277821
164	0.4054311448
165	0.4053832011
166	0.4052756058
167	0.40502231
168	0.4050019267
169	0.4048228262
170	0.4046947608
171	0.404560013
172	0.4044205068
173	0.4043402211
174	0.4040312741
175	0.4038693046
176	0.4033610591
177	0.4031775858
178	0.4030353654
179	0.4028847757
180	0.4028366218
181	0.4026948132
182	0.4026008244
183	0.402297931
184	0.402241865
185	0.4019810972
186	0.4017666501
187	0.4016403137
188	0.4015940894
189	0.4013719052
190	0.4012307947
191	0.4010026195
192	0.4008461908
193	0.4007878704
194	0.400630943
195	0.4005421038
196	0.4002468627
197	0.4000192663
198	0.399951618
199	0.3996243393
200	0.3994473273
201	0.3993899383
202	0.3993143128
203	0.3992771858
204	0.3992150554
205	0.398978296
206	0.3988645349
207	0.3987493817
208	0.3986071139
209	0.3984483341
210	0.3982393277
211	0.398100125
212	0.3979685744
213	0.3977597317
214	0.3974572056
215	0.3973336045
216	0.3972146558
217	0.3970321769
218	0.3968831037
219	0.396548396
220	0.3964158915
221	0.3963170776
222	0.3961986348
223	0.3959218685
224	0.395764001
225	0.3957339505
226	0.3956512936
227	0.3955143799
228	0.3954402556
229	0.3951773119
230	0.3950036125
231	0.3948308824
232	0.3946970414
233	0.3945835138
234	0.3944923768
235	0.394394858
236	0.3942838373
237	0.3941940811
238	0.3940827109
239	0.3939010642
240	0.3937504303
241	0.3933950427
242	0.3931820106
243	0.3930780913
244	0.392795402
245	0.3926445993
246	0.3924817392
247	0.3922724807
248	0.3922265387
249	0.3920877947
250	0.3919523912
251	0.3918788344
252	0.3917486423
253	0.3916872001
254	0.3916126587
255	0.39149679
256	0.3912218912
257	0.3911006818
258	0.3909955793
259	0.3907116637
260	0.3905798089
261	0.3905306761
262	0.3904519933
263	0.3903915747
264	0.3900506674
265	0.3898746538
266	0.3897648758
267	0.3894610134
268	0.3894094033
269	0.3892921916
270	0.3890907194
271	0.3889375139
272	0.3886397044
273	0.388494144
274	0.388414726
275	0.3883127816
276	0.3882050459
277	0.3879598864
278	0.3877225578
279	0.3876178616
280	0.3875172967
281	0.3874045861
282	0.3873579631
283	0.3873269311
284	0.386960244
285	0.386873833
286	0.3867868932
287	0.3866505299
288	0.3863189291
289	0.3860653882
290	0.3859009126
291	0.3857516074
292	0.3856556441
293	0.3854893472
294	0.3853699098
295	0.3852539619
296	0.3851407791
297	0.3850654556
298	0.3849488313
299	0.384867139
300	0.3847870368
301	0.3847180717
302	0.3846031107
303	0.3845598303
304	0.3843762617
305	0.3841562034
306	0.3841009071
307	0.3840011276
308	0.3838332229
309	0.3836836089
310	0.383604835
311	0.383419873
312	0.3833938442
313	0.3832963696
314	0.3832381377
315	0.3831804509
316	0.3830937925
317	0.3829533049
318	0.3828907075
319	0.3828317657
320	0.3827779185
321	0.3827143887
322	0.3826591143
323	0.3825541344
324	0.3824955598
325	0.3824396697
326	0.3823862021
327	0.3821791741
328	0.3821206818
329	0.3820874109
330	0.3819967917
331	0.3819525657
332	0.3818807104
333	0.3818223703
334	0.3816890403
335	0.3815581396
336	0.3813476061
337	0.3811596652
338	0.3810396086
339	0.380971335
340	0.3808613631
341	0.3806409236
342	0.3804732058
343	0.3803720567
344	0.3802996138
345	0.3802612539
346	0.3801467883
347	0.3800514927
348	0.3800112328
349	0.3799751774
350	0.3799158947
351	0.3798606919
352	0.3797666909
353	0.3797416128
354	0.3796862754
355	0.3795013526
356	0.3794149953
357	0.3793306543
358	0.3792069609
359	0.3791268271
360	0.379072304
361	0.3789519149
362	0.3789047208
363	0.3786286318
364	0.3785176011
365	0.3783616017
366	0.3783099731
367	0.3782501719
368	0.3782117366
369	0.3781468811
370	0.3780653884
371	0.3779793925
372	0.3777300361
373	0.377651597
374	0.3776003003
375	0.3775304719
376	0.3773943135
377	0.3772766269
378	0.3772330502
379	0.3771908433
380	0.3770353778
381	0.3769685671
382	0.3768024506
383	0.3767503596
384	0.3766633513
385	0.376615907
386	0.3765179238
387	0.376462784
388	0.3764139683
389	0.3763648443
390	0.376316266
391	0.3762699539
392	0.3762199899
393	0.3761361215
394	0.3760881645
395	0.376028416
396	0.3758879054
397	0.3758287068
398	0.3756667103
399	0.3756070062
400	0.3755729687
401	0.3754775989
402	0.3754089029
403	0.3751766525
404	0.3750537511
405	0.375013711
406	0.3749606308
407	0.3748335087
408	0.3747253114
409	0.374675599
410	0.3746489936
411	0.3745783192
412	0.3744968039
413	0.3743921249
414	0.3743393065
